id,site,lat,lon,avg_temp_c,expected_rain_mm,nice_score
1,Mont Saint Michel,48.6359541,-1.51146,16.99,1.47,16.25
2,St Malo,48.649518,-2.0260409,15.98,13.25,9.35
3,Bayeux,49.2764624,-0.7024738,15.68,21.51,4.93
4,Le Havre,49.4938975,0.1079732,16.18,4.46,13.95
5,Rouen,49.4404591,1.0939658,16.34,0.74,15.97
6,Paris,48.8588897,2.320041,14.77,14.5,7.53
7,Amiens,49.8941708,2.2956951,16.52,0.04,16.5
8,Lille,50.6365654,3.0635282,16.97,0.04,16.95
9,Strasbourg,48.584614,7.7507127,12.54,68.34,-21.63
10,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,10.37,69.31,-24.28
11,Colmar,48.0777517,7.3579641,13.0,71.75,-22.87
12,Eguisheim,48.0447968,7.3079618,12.71,70.78,-22.68
13,Besancon,47.2380222,6.0243622,14.09,61.53,-16.67
14,Dijon,47.3215806,5.0414701,13.09,30.51,-2.16
15,Annecy,45.8992348,6.1288847,13.42,46.21,-9.68
16,Grenoble,45.1875602,5.7357819,14.86,35.72,-3.0
17,Lyon,45.7578137,4.8320114,14.74,42.4,-6.46
18,Gorges du Verdon,43.7496562,6.3285616,13.73,56.27,-14.41
19,Bormes les Mimosas,43.1506968,6.3419285,18.61,64.29,-13.54
20,Cassis,43.2140359,5.5396318,17.75,33.57,0.97
21,Marseille,43.2961743,5.3699525,18.49,32.73,2.12
22,Aix en Provence,43.5298424,5.4474738,17.56,28.27,3.42
23,Avignon,43.9492493,4.8059012,17.07,25.86,4.14
24,Uzes,44.0121279,4.4196718,16.34,29.77,1.46
25,Nimes,43.8374249,4.3600687,17.23,31.66,1.4
26,Aigues Mortes,43.5661521,4.19154,18.0,28.91,3.55
27,Saintes Maries de la mer,43.4515922,4.4277202,17.88,31.19,2.28
28,Collioure,42.52505,3.0831554,19.26,11.82,13.36
29,Carcassonne,43.2130358,2.3491069,17.96,2.67,16.62
30,Ariege,42.9455368,1.4065544,13.17,16.81,4.76
31,Toulouse,43.6044622,1.4442469,16.84,7.85,12.92
32,Montauban,44.0175835,1.3549991,16.08,12.84,9.66
33,Biarritz,43.4832523,-1.5592776,16.93,46.07,-6.1
34,Bayonne,43.4945144,-1.4736657,17.73,35.6,-0.07
35,La Rochelle,46.159732,-1.1515951,14.9,10.43,9.69
