site_id,destination,name,lat_hotel,lon_hotel,url,hotel_id,review_score,description,address,lat_site,lon_site,avg_temp_c,expected_rain_mm,nice_score
29,Carcassonne,Tribe Carcassonne,43.210306,2.357756,https://www.booking.com/hotel/fr/des-trois-couronnes.en-gb.html,des-trois-couronnes,8.0,"In the heart of the historic Bastide Saint-Louis district, at the foot of the Pont Vieux, the TRIBE…","2 Rue Des Trois Couronnes, 11000 Carcassonne, France",43.2130358,2.3491069,17.96,2.67,16.62
7,Amiens,Hotel Au Spatial,49.891939,2.305756,https://www.booking.com/hotel/fr/au-spatial.en-gb.html,au-spatial,7.2,"Hotel Au Spatial is located in the heart of Amiens, a 2-minute walk from Amiens Train Station and a…","15 rue Fatton, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Grand Hotel de L'Univers,49.891254,2.304336,https://www.booking.com/hotel/fr/bwlunivers.en-gb.html,bwlunivers,7.9,"This Grand Hotel de L'Univers is located in the heart of Amiens, just 100 metres from the train sta…","2 rue de Noyon, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Le Saint Louis,49.889779,2.302499,https://www.booking.com/hotel/fr/le-saint-louis-amienq.en-gb.html,le-saint-louis-amienq,8.2,"Le Saint Louis is located in Amiens town centre, 300 metres from the train station and the Cathedra…","24 Rue Des Otages, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Holiday Inn Express Amiens by IHG,49.891676,2.307754,https://www.booking.com/hotel/fr/express-by-holiday-inn.en-gb.html,express-by-holiday-inn,8.0,Holiday Inn Express offers comfortable guest rooms with free WiFi.,"10 Boulevard Alsace Lorraine, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,B&B HOTEL Amiens Centre Cathédrale,49.891999,2.29197,https://www.booking.com/hotel/fr/ibis-amiens-centre-cathedrale.en-gb.html,ibis-amiens-centre-cathedrale,8.3,"Offering a restaurant and free Wi-Fi, B&B HOTEL Amiens Centre Cathédrale is located in the centre o…","4 Rue Du Marechal De Lattre De Tassigny, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Appart'City Confort Amiens Gare,49.894316,2.309761,https://www.booking.com/hotel/fr/appart-city-amiens.en-gb.html,appart-city-amiens,7.9,Located 300 metres from Notre Dame Cathedral in Amiens and from the Hortillonnages Floating Gardens…,"80, boulevard d'Alsace-Lorraine, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,The Nest,49.889307,2.294634,https://www.booking.com/hotel/fr/the-nest-amiens.en-gb.html,the-nest-amiens,8.0,"Boasting a terrace and views of garden, The Nest is an aparthotel set in a historic building in Ami…","37 Boulevard Maignan Larivière, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Moxy Amiens,49.891249,2.30953,https://www.booking.com/hotel/fr/campanile-amiens-centre-gare.en-gb.html,campanile-amiens-centre-gare,8.4,"In the heart of the city and a stone's throw from the train station, our Moxy Amiens hotel is the i…","29-33 rue Paul Tellier, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Nemea Appart Hotel Coliseum Amiens Centre,49.892175,2.288935,https://www.booking.com/hotel/fr/nemea-appart-coliseum.en-gb.html,nemea-appart-coliseum,8.5,"Featuring 3-star accommodation, Nemea Appart Hotel Coliseum Amiens Centre is set in Amiens, 1.7 km…","25 Rue Frédéric Petit, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Ibis Budget Amiens Centre Gare,49.891591,2.313573,https://www.booking.com/hotel/fr/ibis-budget-amiens-centre-gare.en-gb.html,ibis-budget-amiens-centre-gare,8.2,"Ibis Budget Amiens Centre Gare is set in Amiens city centre, a 5-minute walk from Amiens Train Stat…","15 Rue Dejean, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,La Parenthèse Envoutée,49.888339,2.312171,https://www.booking.com/hotel/fr/aux-caves.en-gb.html,aux-caves,9.3,"La Parenthèse Envoutée is situated in Amiens, 500 metres from Amiens Train Station, 3.9 km from Zén…","54 rue Jules Barni, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
7,Amiens,Logis Hôtel - La Chambre d'Amiens,49.894484,2.276803,https://www.booking.com/hotel/fr/la-chambre-d-39-amiens.en-gb.html,la-chambre-d-39-amiens,8.4,"Set in Amiens, 900 metres from Zénith d'Amiens, Logis Hôtel - La Chambre d'Amiens offers accommodat…","1 avenue de l'hippodrome AMIENS, 80000 Amiens, France",49.8941708,2.2956951,16.52,0.04,16.5
